username,bintang,review
j*****t,5,"Warnanya cantik banget, powerbank nya berfungsi dengan normal. Tapi pengemasan nya agak lama mungkin karna event 12.12👍👍"
m*****4,5,"Thank u minnn, barang sudah di terima
Thank u minnn, barang sudah di terima
Thank u minnn, barang sudah di terima"
dimaz_megantoro,5,Bagus barang nya pengiriman jg lumayan sesuailah sama pesanan
mawardiamars,5,"Mantuul. Tahan lama,, memuaskan
Udah di coba, sesuai deskripsi,ok bngt,,gak nyesel beli di sini"
03amrinaro,5,Warna ijonya gemaaass ternyata doff aku pikir glossy tp gpp tetap sukaaa🤩👍🏼
madu.fi,5,"Power banknya sampei dengan selamat, Semoga power banknya awet. Baru pertama kali beli disini"
debbywidia06,5,Terimakasih.. powerbank nya bekerja dengan baik. Kualitas nya bagus. Mudah-mudahan awet ya
r*****9,5,Terima Kasih Barang Berfungsi dengan baik dan pengiriman juga cepat pokoknya aman dan rekomen banget
jokispace.id,5,"pengiriman aman dengan bubblewrap, pengiriman juga cepat cuma sehari dari pemesanan, untuk desain dan teksturnya sukaa karena ga berat walau lumayan panjang, simple but elegant karena warnanya putih yang natural, untuk fast charging dan lainnya blm aku coba sii, semoga emng beneran baguss dan awett"
m*****_,5,"Produk berfungsi dengan baik, pengemasannya aman, pengiriman lumayan cepat"
f*****3,5,Mantap brooo barang sudah sampai di tempat dgn aman broo good
s*****9,5,mntappp 👍👍👍👍👍 adminnya baikk🙏🙏🙏🙏barangnya sesuai dgn yg d gambar👍👍👍
kellykimz,5,"Bagus, aman, packaging oke, ga ada lecet sama sekali, thankyou!"
satrahcaca,5,"pesanan sesuai, cepatt sampai, packaging sangat aman, semoga awet👍🏻👍🏻👍🏻"
nadyaptr18,5,Bagus pengiriman cepet dan bagus udah si itu aja bagus kata gue teh
salsa.elsa,5,Berguna bangetttttt terima kasihhhhhhhhh...............
s*****2,5,Oke mantulity manjalita 😍 gemes banget desainnya sukaaaa 🖤🖤🖤 dan semoga awet tahan lama. Thx u seller
haelshop_,5,"Bagus lah yaa

ORI banget
 Warnanya bagus jugaa

Pengiriman cepat

Bagus banget barangnyaa"
thi_mudz,5,Pengiriman cepat..belum dicoba..semoga awet..top lah pokok'a..
a*****i,5,"pengirimannya cepetttt bgt, pesen kemaren hari ini udah sampe🤍🤍 tadi pas sampe batre nya 66% terus aku pake sampe 23% dan aku charge bener-bener 5,5 jam 100%. semoga awett🥲🙏🏻"
